run_start_utc,run_end_utc,run_stamp,slurm_job_id,experiment_name,compression_setting,resolution_label,mode,tile_size,batch_size,n_images,width,height,avg_wall_sec,avg_inference_sec,avg_peak_gpu_mem_mb,avg_bpp,avg_compression_ratio,avg_psnr_db,avg_ssim,avg_seam_error_mean,storage_label
2026-05-12T05:47:15Z,2026-05-12T05:59:19Z,20260512_yifan_tiling_pilot,2275024,tile_1024,baseline_b02048,native_full_resolution,tiled,1024,4,8,5440,3648,88.349087,84.35405,11180.4,0.363023,66.1114,29.81765,0.883519,0.028595,shared
2026-05-12T05:59:24Z,2026-05-12T06:12:24Z,20260512_yifan_tiling_pilot,2275024,tile_2048,baseline_b02048,native_full_resolution,tiled,2048,4,8,5440,3648,95.390762,91.527175,43823.4,0.363427,66.038,29.902475,0.884128,0.031026,shared
2026-05-12T05:35:27Z,2026-05-12T05:47:11Z,20260512_yifan_tiling_pilot,2275024,tile_512,baseline_b02048,native_full_resolution,tiled,512,4,8,5440,3648,86.0055,81.9411,3019.6,0.348896,68.7883,29.727162,0.882249,0.027796,shared
2026-05-12T05:15:26Z,2026-05-12T05:35:22Z,20260512_yifan_tiling_pilot,2275024,tile_none_reference,baseline_b02048,native_full_resolution,full_image,0,1,8,5440,3648,143.549538,143.552212,51983.125,0.329941,72.7403,29.875375,0.884654,,shared
