n_denoise_step,precision,batch_size,avg_inference_sec,avg_images_per_hour,avg_peak_gpu_mem_mb,avg_psnr_db,avg_ssim,avg_bpp,n_images
5,fp32,1,10.869,331.24,52225.8,31.56,0.9066,0.33,15
20,fp32,1,42.741,84.23,52225.9,30.48,0.8961,0.33,15
65,fp32,1,138.48,25.99,52225.8,29.92,0.8846,0.33,15
5,fp16,1,10.288,350.11,34207.5,31.63,0.9063,inf,15
20,fp16,1,40.321,89.28,34207.5,30.54,0.8958,inf,15
65,fp16,1,130.642,27.56,34207.5,30.02,0.8838,inf,15
