n_denoise_step,precision,batch_size,avg_inference_sec,avg_images_per_hour,avg_peak_gpu_mem_mb,avg_psnr_db,avg_ssim,avg_bpp,n_images
20,fp32,1,44.391,81.1,52212.6,30.5,0.8961,0.3295,8
65,fp32,1,143.646,25.06,52210.8,29.95,0.8846,0.3295,8
